segment	best	score
Following disclosure, the PGTEX Group reiterated its allegation that the application of facts available was manifestly ill-founded and not justified in view of the information provided by the PGTEX Group.	On 12 October 2021, the PGTEX Group claimed that the application of facts available was not legally justified in the present case for the following reasons:	60
Number of participants who report three months after the training activity that they are using the skills and competences acquired during the training.	Number of participants who report that the activity was helpful for their integration.	63
the metal housing is made of hot-rolled steel complying with standard JIS G 3131 - SPHE,	made of structural carbon steel complying with standard JIS G4051,	64
3A002.a.7. does not control equivalent-time sampling oscilloscopes.	6A001.a.1. does not control equipment as follows:	69
PROJECTS	OBJECTIVES	67
laying down special control measures for classical swine fever	amending Annex I to Implementing Regulation (EU) 2021/934 laying down special control measures for classical swine fever	68
inland freight water transport vessels, not dedicated to transporting fossil fuels, that:	sea and coastal freight water transport vessels, vessels for port operations and auxiliary activities, that are not dedicated to transporting fossil fuels, that:	69
Date of entry into force: 30 September 2021	Date of birth: 28 September 1969	64
In order to obtain information it deems necessary for its investigation, the Commission has made a questionnaire for the applicants available in the file for inspection by interested parties and on the website of the Directorate-General for Trade https:// trade.ec.europa.eu/tdi /.	In order to obtain information it deems necessary for its investigation, the Commission will send a questionnaire to the applicant.	60
It is necessary to adapt the content of the analytical databank of isotopic data in order to better mirror the reality of the Union wine sector.	Therefore, it is necessary to improve the current legal framework for the analytical databank of isotopic data such as to ensure that it is updated within a given time period, and thereby providing better protection against fraud in the Union wine sector.	62
the annual performance report referred to in Article 54 (1) of Regulation (EU) 2021/2116 and Article 134 of Regulation (EU) 2021/2115;	the annual performance report referred to in Article 54 (1) of this Regulation and Article 134 of Regulation (EU) 2021/2115 showing that the expenditure was effected in accordance with Article 37 of this Regulation;	68
(Food)	(Food – fresh)	60
However, because the 2009 Law caps the amount of compensation, the calculation was simplified by applying the 6,5% as a flat rate return on capital to verify any overcompensation.	However, as already explained in recital (133), Italy has clarified that, because the tender amount of compensation was capped by the 2009 Law, it was decided to simplify the calculation by applying the 6,9% as a flat rate return on capital for the years 2010 and 2011.	60
See, for instance, Judgment of the Court of Justice of 10 July 1986, Belgium v Commission, 40/85, ECLI: EU: C: 1986: 305, paragraph 12.	Judgment of the Court of Justice of 12 September 2019, TestBioTech v Commission, C-82/17 P, ECLI: EU: C: 2019: 719, paragraph 69.	70
Consequently, the Commission did not make imports of birch plywood from Russia as defined in section 2 subject to registration under Article 14 (5a) of the basic Regulation.	As mentioned in section 1.2, following a request by the complainant, the Commission made imports of the product under investigation subject to registration pursuant to Article 14 (5) of the basic Regulation.	66
Continues activities of supporting separatist structures of the so-called ‘ Luhansk People ’ s Republic ’.	Former ‘ Chairperson ’ of the ‘ Central Electoral Commission ’ of the so-called ‘ Donetsk People ’ s Republic ’.	61
The Ombudsman shall inform the complainant of the solution proposed along with the comments, if any, of the Union institution, body, office or agency concerned.	Before the complaint is lodged, the complainant shall make the appropriate administrative approaches to the Union institution, body, office or agency concerned.	67
